# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.36714e-32 1.19213e-32 1.39656e-32 3.95583e-32
1 2.49926e-07 2.46847e-07 2.51473e-07 7.48246e-07
2 9.99631e-07 9.8732e-07 1.00577e-06 2.99272e-06
3 2.24895e-06 2.22126e-06 2.26267e-06 6.73288e-06
4 3.99763e-06 3.94845e-06 4.02183e-06 1.19679e-05
5 6.24536e-06 6.16859e-06 6.28287e-06 1.86968e-05
6 8.99174e-06 8.88131e-06 9.04529e-06 2.69183e-05
7 1.22363e-05 1.20862e-05 1.23085e-05 3.6631e-05
8 1.59785e-05 1.57827e-05 1.6072e-05 4.78331e-05
9 2.02176e-05 1.99702e-05 2.03348e-05 6.05227e-05
10 2.49531e-05 2.46482e-05 2.50964e-05 7.46976e-05
11 3.0184e-05 2.98158e-05 3.03557e-05 9.03555e-05
12 3.59096e-05 3.54724e-05 3.61117e-05 0.000107494
13 4.2129e-05 4.1617e-05 4.23636e-05 0.00012611
14 4.8841e-05 4.82488e-05 4.911e-05 0.0001462
15 5.60447e-05 5.53667e-05 5.63499e-05 0.000167761
16 6.37388e-05 6.29697e-05 6.4082e-05 0.00019079
17 7.19222e-05 7.10567e-05 7.23048e-05 0.000215284
18 8.05934e-05 7.96265e-05 8.1017e-05 0.000241237
19 8.97513e-05 8.86778e-05 9.02171e-05 0.000268646
20 9.93942e-05 9.82093e-05 9.99034e-05 0.000297507
21 0.000109521 0.00010822 0.000110074 0.000327815
22 0.000120129 0.000118707 0.000120728 0.000359565
23 0.000131218 0.000129671 0.000131863 0.000392752
24 0.000142785 0.000141109 0.000143477 0.000427371
25 0.000154829 0.00015302 0.000155569 0.000463418
26 0.000167348 0.000165401 0.000168135 0.000500885
27 0.00018034 0.000178252 0.000181175 0.000539767
28 0.000193802 0.000191571 0.000194686 0.000580059
29 0.000207734 0.000205355 0.000208666 0.000621754
30 0.000222131 0.000219602 0.000223112 0.000664845
31 0.000236994 0.000234311 0.000238022 0.000709327
32 0.000252318 0.00024948 0.000253395 0.000755192
33 0.000268102 0.000265106 0.000269226 0.000802434
34 0.000284344 0.000281187 0.000285514 0.000851045
35 0.00030104 0.000297721 0.000302256 0.000901018
36 0.000318189 0.000314706 0.00031945 0.000952345
37 0.000335787 0.00033214 0.000337092 0.00100502
38 0.000353832 0.000350019 0.000355181 0.00105903
39 0.000372322 0.000368342 0.000373712 0.00111438
40 0.000391252 0.000387106 0.000392684 0.00117104
41 0.000410622 0.000406309 0.000412093 0.00122902
42 0.000430427 0.000425948 0.000431936 0.00128831
43 0.000450665 0.000446019 0.00045221 0.00134889
44 0.000471332 0.000466522 0.000472913 0.00141077
45 0.000492426 0.000487452 0.00049404 0.00147392
46 0.000513944 0.000508807 0.000515589 0.00153834
47 0.000535882 0.000530584 0.000537556 0.00160402
48 0.000558237 0.000552781 0.000559939 0.00167096
49 0.000581005 0.000575394 0.000582733 0.00173913
50 0.000604184 0.00059842 0.000605935 0.00180854
51 0.00062777 0.000621856 0.000629543 0.00187917
52 0.00065176 0.0006457 0.000653552 0.00195101
53 0.000676149 0.000669948 0.000677958 0.00202406
54 0.000700935 0.000694596 0.000702759 0.00209829
55 0.000726114 0.000719642 0.000727951 0.00217371
56 0.000751683 0.000745083 0.000753529 0.0022503
57 0.000777637 0.000770915 0.000779491 0.00232804
58 0.000803973 0.000797134 0.000805833 0.00240694
59 0.000830687 0.000823738 0.00083255 0.00248698
60 0.000857776 0.000850723 0.000859639 0.00256814
61 0.000885235 0.000878086 0.000887097 0.00265042
62 0.000913061 0.000905822 0.000914918 0.0027338
63 0.00094125 0.000933929 0.0009431 0.00281828
