# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.24094e-32 1.53234e-32 1.02158e-32 3.79487e-32
1 3.96023e-06 4.02425e-06 3.97118e-06 1.19557e-05
2 1.5827e-05 1.60985e-05 1.58717e-05 4.77972e-05
3 3.55648e-05 3.62105e-05 3.5668e-05 0.000107443
4 6.31192e-05 6.43282e-05 6.33076e-05 0.000190755
5 9.84169e-05 0.0001004 9.87193e-05 0.000297536
6 0.000141367 0.000144353 0.000141814 0.000427533
7 0.00019186 0.000196096 0.000192484 0.000580439
8 0.00024977 0.000255517 0.000250604 0.000755891
9 0.000314955 0.000322484 0.000316033 0.000953472
10 0.000387256 0.000396849 0.000388611 0.00117272
11 0.000466501 0.000478441 0.000468165 0.00141311
12 0.000552502 0.000567074 0.000554504 0.00167408
13 0.000645059 0.000662545 0.000647424 0.00195503
14 0.000743959 0.000764633 0.000746709 0.0022553
15 0.000848976 0.000873102 0.000852127 0.00257421
16 0.000959876 0.000987704 0.00096344 0.00291102
17 0.00107641 0.00110818 0.00108039 0.00326498
18 0.00119834 0.00123424 0.00120273 0.00363531
19 0.00132538 0.00136562 0.00133019 0.00402119
20 0.00145729 0.00150201 0.00146248 0.00442178
21 0.00159379 0.0016431 0.00159935 0.00483624
22 0.00173461 0.00178861 0.00174049 0.00526371
23 0.00187947 0.00193819 0.00188564 0.0057033
24 0.00202809 0.00209154 0.00203451 0.00615415
25 0.00218021 0.00224834 0.00218681 0.00661536
26 0.00233554 0.00240825 0.00234226 0.00708605
27 0.0024938 0.00257096 0.00250057 0.00756533
28 0.00265473 0.00273613 0.00266147 0.00805233
29 0.00281805 0.00290345 0.00282467 0.00854617
30 0.00298348 0.0030726 0.00298991 0.00904598
31 0.00315075 0.00324325 0.00315689 0.0095509
32 0.00331961 0.0034151 0.00332536 0.0100601
33 0.00348977 0.00358784 0.00349505 0.0105727
34 0.00366097 0.00376117 0.00366568 0.0110878
35 0.00383295 0.00393479 0.00383701 0.0116047
36 0.00400545 0.00410842 0.00400876 0.0121226
37 0.00417821 0.00428178 0.00418068 0.0126407
38 0.00435098 0.0044546 0.00435253 0.0131581
39 0.00452351 0.00462663 0.00452406 0.0136742
40 0.00469555 0.00479761 0.00469502 0.0141882
41 0.00486688 0.00496732 0.00486519 0.0146994
42 0.00503725 0.00513552 0.00503433 0.0152071
43 0.00520645 0.005302 0.00520221 0.0157107
44 0.00537427 0.00546657 0.00536863 0.0162095
45 0.00554049 0.00562902 0.00553338 0.0167029
46 0.00570493 0.00578919 0.00569625 0.0171904
47 0.00586738 0.00594691 0.00585706 0.0176714
48 0.00602768 0.00610202 0.00601562 0.0181453
49 0.00618565 0.00625437 0.00617176 0.0186118
50 0.00634112 0.00640384 0.00632531 0.0190703
51 0.00649396 0.00655031 0.00647611 0.0195204
52 0.00664399 0.00669365 0.00662402 0.0199617
53 0.0067911 0.00683378 0.00676889 0.0203938
54 0.00693515 0.0069706 0.0069106 0.0208163
55 0.00707602 0.00710402 0.00704901 0.0212291
56 0.0072136 0.00723398 0.00718403 0.0216316
57 0.00734778 0.0073604 0.00731554 0.0220237
58 0.00747846 0.00748324 0.00744345 0.0224051
59 0.00760556 0.00760245 0.00756766 0.0227757
60 0.00772899 0.00771798 0.0076881 0.0231351
61 0.00784868 0.00782981 0.00780471 0.0234832
62 0.00796458 0.00793791 0.00791741 0.0238199
63 0.00807661 0.00804225 0.00802616 0.024145
64 0.00818474 0.00814285 0.00813092 0.0244585
