# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 0.992712 1.00403 0.993568 2.99031
1 0.961129 0.975213 0.963304 2.89965
2 0.873721 0.889814 0.876359 2.63989
3 0.740085 0.757007 0.742168 2.23926
4 0.573797 0.590366 0.574501 1.73866
5 0.390117 0.405567 0.389104 1.18479
6 0.203676 0.217764 0.201235 0.622675
7 0.0269386 0.0396715 0.0238699 0.0904801
8 -0.130228 -0.11904 -0.13309 -0.382359
9 -0.26076 -0.251609 -0.26291 -0.775279
10 -0.360517 -0.353931 -0.361706 -1.07615
11 -0.428151 -0.424357 -0.428167 -1.28067
12 -0.464816 -0.463526 -0.463395 -1.39174
13 -0.473614 -0.474145 -0.470573 -1.41833
14 -0.458871 -0.460562 -0.454308 -1.37374
15 -0.425588 -0.42821 -0.419838 -1.27364
16 -0.379054 -0.382858 -0.372542 -1.13445
17 -0.324529 -0.329905 -0.317856 -0.97229
18 -0.267014 -0.274135 -0.261027 -0.802177
19 -0.210965 -0.219606 -0.206496 -0.637067
20 -0.159895 -0.169402 -0.157403 -0.4867
21 -0.116181 -0.125636 -0.115613 -0.35743
22 -0.0811318 -0.0897162 -0.0819986 -0.252847
23 -0.055045 -0.0622843 -0.0566166 -0.173946
24 -0.0372455 -0.0429022 -0.0388196 -0.118967
25 -0.0263087 -0.0301865 -0.0274266 -0.0839218
26 -0.020351 -0.0224015 -0.0208285 -0.063581
27 -0.0173267 -0.017846 -0.0170624 -0.0522351
28 -0.0152874 -0.0148476 -0.0140715 -0.0442066
29 -0.012508 -0.0116936 -0.0101269 -0.0343285
30 -0.00763096 -0.00683073 -0.00411683 -0.0185785
31 0.000143638 0.000749406 0.00436208 0.00525512
32 0.0109352 0.0113093 0.0150628 0.0373072
33 0.0241283 0.024443 0.0273209 0.0758923
34 0.0385529 0.0392492 0.040224 0.118026
35 0.0528954 0.0544569 0.0526991 0.160051
36 0.0659286 0.0685542 0.063703 0.198186
37 0.0764551 0.0800414 0.0723105 0.228807
38 0.0833911 0.0878069 0.0777364 0.248934
39 0.0860211 0.0913271 0.0794816 0.25683
40 0.0840542 0.0905085 0.0774541 0.252017
41 0.0775588 0.0854676 0.0717923 0.234819
42 0.0669349 0.0764326 0.0626105 0.205978
43 0.0528347 0.0637739 0.0501413 0.16675
44 0.0361432 0.0481489 0.035004 0.119296
45 0.0180109 0.0305308 0.0182547 0.0667963
46 -0.000245554 0.0120915 0.0012264 0.0130723
47 -0.0173129 -0.00586466 -0.0148013 -0.0379789
48 -0.0320536 -0.0220018 -0.0288536 -0.0829091
49 -0.0435809 -0.0351263 -0.0402423 -0.118949
50 -0.0512726 -0.0443592 -0.0484729 -0.144105
51 -0.0548278 -0.0492914 -0.0533094 -0.157429
52 -0.0542848 -0.050026 -0.054814 -0.159125
53 -0.0499839 -0.0471247 -0.0531746 -0.150283
54 -0.0425755 -0.0415203 -0.0485838 -0.13268
55 -0.0330369 -0.0343372 -0.0413319 -0.108706
56 -0.0224726 -0.026509 -0.0318684 -0.08085
57 -0.0118257 -0.0185252 -0.0207301 -0.0510809
58 -0.0018581 -0.0106909 -0.00861205 -0.0211611
59 0.00673559 -0.00344533 0.00343565 0.00672591
60 0.0134118 0.00267963 0.0141271 0.0302185
61 0.0178625 0.00718933 0.0223464 0.0473982
62 0.0199206 0.00968813 0.0274242 0.057033
63 0.0195472 0.0100068 0.0292483 0.0588023
64 0.0169871 0.00831252 0.028254 0.0535536
65 0.0128563 0.00504985 0.0251768 0.043083
66 0.00795891 0.000798085 0.0207024 0.0294594
67 0.00294925 -0.00389305 0.0153266 0.0143828
68 -0.00183 -0.00859145 0.00941489 -0.00100656
69 -0.00619066 -0.0128728 0.00329787 -0.0157656
70 -0.00989262 -0.0162443 -0.00267392 -0.0288109
71 -0.0126866 -0.01833 -0.00815801 -0.0391746
72 -0.0144316 -0.0190875 -0.0128022 -0.0463213
73 -0.0150779 -0.0187473 -0.0161721 -0.0499973
74 -0.0146201 -0.0175587 -0.0178768 -0.0500556
75 -0.0130784 -0.0156499 -0.0178343 -0.0465626
76 -0.0105781 -0.0130889 -0.0163051 -0.039972
77 -0.00746919 -0.00996033 -0.0136358 -0.0310654
78 -0.00418385 -0.00635587 -0.010046 -0.0205857
79 -0.0010106 -0.00234679 -0.00567423 -0.00903163
80 0.00191657 0.00187485 -0.000780068 0.00301135
81 0.00455651 0.0058264 0.00414825 0.0145312
82 0.00689411 0.00896972 0.00848672 0.0243505
83 0.00883346 0.0110756 0.0116846 0.0315937
84 0.0101872 0.0122385 0.0134521 0.0358778
85 0.0108296 0.0126383 0.0138071 0.037275
86 0.0108336 0.0123883 0.0130026 0.0362245
87 0.0103417 0.0116093 0.0113987 0.0333497
88 0.00931995 0.0104744 0.00938 0.0291744
89 0.0076629 0.00910942 0.00728786 0.0240602
90 0.00547807 0.00755229 0.00530373 0.0183341
91 0.00307745 0.00586664 0.00342745 0.0123715
92 0.000767338 0.00422065 0.00156573 0.00655372
93 -0.00124467 0.00276019 -0.000327943 0.00118758
94 -0.0028658 0.00149673 -0.00212723 -0.0034963
95 -0.00416026 0.0004217 -0.00363232 -0.00737088
96 -0.00519728 -0.000315386 -0.00478805 -0.0103007
97 -0.00586528 -0.000381568 -0.00571075 -0.0119576
98 -0.00595695 0.000503958 -0.00657042 -0.0120234
99 -0.0053535 0.00224541 -0.007474 -0.0105821
100 -0.00414384 0.00435513 -0.00837731 -0.00816602
101 -0.00265231 0.00627404 -0.00902528 -0.00540355
102 -0.0012446 0.0076456 -0.00906733 -0.00266634
103 -4.01582e-05 0.00830857 -0.00837111 -0.000102705
104 0.000973258 0.00814366 -0.00718632 0.0019306
105 0.00164056 0.0070269 -0.00596981 0.00269765
106 0.00176958 0.00495077 -0.00510797 0.00161237
107 0.0013988 0.00212194 -0.00481144 -0.0012907
108 0.000791929 -0.00116823 -0.00516975 -0.00554605
109 0.000298962 -0.00469928 -0.00618854 -0.0105889
110 0.000169138 -0.00833778 -0.00772508 -0.0158937
111 0.000323634 -0.0119787 -0.00940582 -0.0210609
112 0.000371055 -0.0154138 -0.0106828 -0.0257255
113 4.72301e-05 -0.0183299 -0.0110615 -0.0293442
114 -0.000433632 -0.0204773 -0.0103848 -0.0312958
115 -0.000622001 -0.0217011 -0.00886961 -0.0311927
116 -0.000221051 -0.0218006 -0.00688349 -0.0289051
117 0.000840319 -0.0205632 -0.00474076 -0.0244636
118 0.00239385 -0.0179741 -0.00258486 -0.0181651
119 0.0041146 -0.0142661 -0.000435857 -0.0105874
120 0.00577079 -0.00984393 0.00170306 -0.00237007
121 0.00725899 -0.00522361 0.00379959 0.00583497
122 0.00853834 -0.000871621 0.00577898 0.0134457
123 0.00957929 0.00302109 0.00758459 0.020185
124 0.0101637 0.006493 0.00916854 0.0258252
125 0.00991439 0.00956353 0.010355 0.0298329
126 0.0086199 0.0121476 0.0108317 0.0315992
127 0.00633876 0.0141351 0.0104 0.0308739
128 0.00330574 0.0155374 0.00915697 0.0280001
129 -3.50696e-05 0.0164644 0.00734308 0.0237724
130 -0.00302511 0.0169539 0.00517852 0.0191073
131 -0.00507182 0.0169991 0.00294186 0.0148692
132 -0.00608466 0.0165846 0.000906018 0.011406
133 -0.00648281 0.0156081 -0.000896046 0.00822929
134 -0.006679 0.0139137 -0.00254206 0.00469265
135 -0.00680088 0.0113657 -0.0039034 0.000661425
136 -0.00686425 0.00786489 -0.0047384 -0.00373775
137 -0.00693443 0.00349646 -0.00498883 -0.00842681
138 -0.00708034 -0.00134164 -0.00476919 -0.0131912
139 -0.00731787 -0.00610406 -0.0042171 -0.017639
140 -0.00760783 -0.0102954 -0.00345038 -0.0213536
141 -0.00782165 -0.0135359 -0.00256997 -0.0239275
142 -0.00776059 -0.0156264 -0.00168665 -0.0250736
143 -0.00729679 -0.0164997 -0.000872566 -0.0246691
144 -0.00647492 -0.0160792 -0.000106891 -0.022661
145 -0.00547801 -0.0142814 0.000611752 -0.0191476
146 -0.00452836 -0.0111754 0.00120311 -0.0145007
147 -0.00376125 -0.00711987 0.00163303 -0.0092481
148 -0.00319123 -0.00267394 0.00197935 -0.00388582
149 -0.00275994 0.00160293 0.00234848 0.00119147
150 -0.00231786 0.00529674 0.0027966 0.00577548
151 -0.00167574 0.00821773 0.00333663 0.00987862
152 -0.000782631 0.0102229 0.00393421 0.0133745
153 0.000226842 0.0110466 0.00448814 0.0157616
154 0.00117794 0.0105731 0.00492476 0.0166758
155 0.00196619 0.00912005 0.00525171 0.016338
156 0.00255204 0.00727765 0.00542114 0.0152508
157 0.00296239 0.00553269 0.00523036 0.0137254
158 0.00331139 0.00402429 0.00443157 0.0117673
159 0.00376078 0.00255158 0.00292835 0.00924072
160 0.00440854 0.000840057 0.000878455 0.00612705
161 0.00516571 -0.00118757 -0.00138494 0.00259319
162 0.00579046 -0.00335581 -0.00346478 -0.00103014
163 0.00612012 -0.00530237 -0.005048 -0.00423026
164 0.00622439 -0.00660226 -0.00603475 -0.00641262
165 0.00630272 -0.00694965 -0.00639756 -0.00704449
166 0.00648626 -0.00627143 -0.00601328 -0.00579845
167 0.00677435 -0.0047008 -0.00483573 -0.00276218
168 0.00709967 -0.00250706 -0.00314866 0.00144394
169 0.00738965 -5.96998e-05 -0.0014451 0.00588484
170 0.00760347 0.00223101 -0.000100511 0.00973396
171 0.00771603 0.00411251 0.000762788 0.0125913
172 0.00761752 0.0056767 0.00117983 0.014474
173 0.00707005 0.00720181 0.00118363 0.0154555
174 0.00588539 0.00878346 0.000737651 0.0154065
175 0.00410854 0.0102089 -0.000172082 0.0141453
176 0.00195249 0.0111036 -0.00140135 0.0116547
177 -0.000301899 0.0111543 -0.00267544 0.00817697
178 -0.00235906 0.0103221 -0.00372295 0.00424006
179 -0.00404587 0.00885183 -0.00426862 0.000537347
180 -0.00536881 0.00710916 -0.00400536 -0.00226501
181 -0.0063991 0.00546771 -0.00282447 -0.00375587
182 -0.00713369 0.00417466 -0.00100293 -0.00396196
183 -0.00747722 0.00321437 0.000979099 -0.00328374
184 -0.007297 0.00242418 0.0026871 -0.00218573
185 -0.00643331 0.00172877 0.00381165 -0.000892885
186 -0.00477004 0.00107816 0.00423418 0.000542302
187 -0.0023717 0.000245026 0.00404368 0.001917
188 0.000500979 -0.00103163 0.00336 0.00282935
189 0.00350464 -0.00278864 0.00220008 0.00291607
190 0.00629743 -0.00494611 0.000534254 0.00188558
191 0.0085528 -0.00745821 -0.00163294 -0.000538351
192 0.00999891 -0.0101535 -0.00418953 -0.00434412
193 0.0105231 -0.0126544 -0.00684575 -0.00897706
194 0.0101985 -0.0145794 -0.00920861 -0.0135895
195 0.00920982 -0.0157322 -0.0109496 -0.0174719
196 0.00775014 -0.0161369 -0.0118913 -0.0202781
197 0.00596972 -0.0159203 -0.0120219 -0.0219725
198 0.00403864 -0.015157 -0.0114411 -0.0225595
199 0.00214343 -0.0138723 -0.0102767 -0.0220056
200 0.000438922 -0.012145 -0.00868226 -0.0203883
201 -0.000978698 -0.0100844 -0.00682772 -0.0178908
202 -0.00210899 -0.00771919 -0.0048505 -0.0146787
203 -0.00304332 -0.00507039 -0.00282521 -0.0109389
204 -0.00396062 -0.00230338 -0.000743287 -0.00700729
205 -0.00504514 0.000401354 0.00139792 -0.00324587
206 -0.00632934 0.00298203 0.00348723 0.000139915
207 -0.00762635 0.00532182 0.00534081 0.00303628
208 -0.00858224 0.0071156 0.00683313 0.00536649
209 -0.00883729 0.00796345 0.00800211 0.00712827
210 -0.008196 0.00761135 0.00901923 0.00843458
211 -0.00675795 0.0061509 0.00999898 0.00939193
212 -0.00486364 0.00401386 0.0109063 0.0100565
213 -0.0028882 0.00180177 0.0117098 0.0106233
214 -0.00109681 5.79677e-05 0.012476 0.0114371
215 0.000457766 -0.000891848 0.0131929 0.0127589
