# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 0.985639 0.999475 1.00463 2.98975
1 0.978719 0.992564 0.997153 2.96843
2 0.957066 0.970895 0.974759 2.90272
3 0.921301 0.935115 0.938127 2.79454
4 0.872442 0.886252 0.888323 2.64702
5 0.811843 0.825659 0.826746 2.46425
6 0.741124 0.754933 0.755049 2.25111
7 0.662082 0.675837 0.675051 2.01297
8 0.576616 0.590229 0.58866 1.7555
9 0.486659 0.499996 0.497797 1.48445
10 0.39411 0.407005 0.404337 1.20545
11 0.300772 0.313038 0.310054 0.923864
12 0.208309 0.219749 0.216589 0.644647
13 0.118226 0.128639 0.125428 0.372293
14 0.0318632 0.0410392 0.0378939 0.110796
15 -0.0496062 -0.0418848 -0.0448586 -0.13635
16 -0.125177 -0.119136 -0.121851 -0.366163
17 -0.194029 -0.189886 -0.192288 -0.576203
18 -0.255545 -0.253478 -0.255562 -0.764586
19 -0.309315 -0.309421 -0.311245 -0.929981
20 -0.355124 -0.357386 -0.35907 -1.07158
21 -0.39293 -0.397208 -0.398911 -1.18905
22 -0.422832 -0.428885 -0.430771 -1.28249
23 -0.445052 -0.452571 -0.454776 -1.3524
24 -0.459916 -0.468566 -0.471177 -1.39966
25 -0.46784 -0.477294 -0.480344 -1.42548
26 -0.46932 -0.479277 -0.48275 -1.43135
27 -0.464915 -0.475113 -0.478953 -1.41898
28 -0.455236 -0.46545 -0.469568 -1.39025
29 -0.440927 -0.45097 -0.455247 -1.34714
30 -0.422647 -0.432369 -0.436666 -1.29168
31 -0.401051 -0.410353 -0.414514 -1.22592
32 -0.376791 -0.385622 -0.389484 -1.1519
33 -0.350505 -0.358862 -0.362262 -1.07163
34 -0.322824 -0.330738 -0.333519 -0.987081
35 -0.294358 -0.30188 -0.303899 -0.900138
36 -0.265691 -0.272875 -0.274008 -0.812574
37 -0.23736 -0.244267 -0.2444 -0.726027
38 -0.209845 -0.216553 -0.215573 -0.64197
39 -0.18355 -0.190167 -0.187965 -0.561682
40 -0.158799 -0.165469 -0.161947 -0.486214
41 -0.135843 -0.142723 -0.137814 -0.41638
42 -0.11487 -0.122104 -0.115791 -0.352765
43 -0.0960133 -0.103718 -0.0960238 -0.295755
44 -0.0793649 -0.0876169 -0.0785792 -0.245561
45 -0.0649685 -0.073811 -0.0634482 -0.202228
46 -0.0528116 -0.0622666 -0.0505593 -0.165638
47 -0.0428146 -0.0528948 -0.0397959 -0.135505
48 -0.03483 -0.0455465 -0.0310135 -0.11139
49 -0.0286525 -0.0400125 -0.0240495 -0.0927145
50 -0.0240367 -0.0360298 -0.0187246 -0.0787911
51 -0.0207147 -0.0332952 -0.0148375 -0.0688474
52 -0.0184122 -0.0314882 -0.0121622 -0.0620625
53 -0.0168605 -0.0302968 -0.0104516 -0.0576089
54 -0.015804 -0.0294366 -0.00944491 -0.0546856
55 -0.015001 -0.028657 -0.00887553 -0.0525335
56 -0.0142214 -0.0277389 -0.00847881 -0.0504391
57 -0.0132481 -0.0264916 -0.00800421 -0.0477439
58 -0.0118838 -0.0247503 -0.00723189 -0.0438661
59 -0.0099622 -0.0223766 -0.00598781 -0.0383266
60 -0.00735649 -0.0192597 -0.00414995 -0.0307661
61 -0.00398175 -0.0153224 -0.00164343 -0.0209476
62 0.000208075 -0.0105263 0.00157031 -0.00874796
63 0.00522189 -0.00487334 0.00550241 0.00585096
64 0.0110301 0.00159811 0.0101404 0.0227686
65 0.0175615 0.00882015 0.0154479 0.0418296
66 0.0247027 0.0167 0.0213623 0.062765
67 0.0322988 0.0251176 0.0277929 0.0852093
68 0.0401565 0.0339174 0.0346174 0.108691
69 0.048051 0.0429013 0.0416796 0.132632
70 0.0557423 0.0518314 0.0487917 0.156366
71 0.0629967 0.0604488 0.0557467 0.179192
72 0.0696063 0.0685009 0.062337 0.200444
73 0.0753988 0.075767 0.0683711 0.219537
74 0.0802381 0.0820736 0.0736812 0.235993
75 0.0840218 0.0872955 0.0781234 0.249441
76 0.0866751 0.0913488 0.0815762 0.2596
77 0.088146 0.0941822 0.0839386 0.266267
78 0.0884005 0.0957695 0.0851279 0.269298
