# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.54544e-32 1.34236e-32 1.39294e-32 4.28074e-32
1 0.000100625 0.000102044 0.000100858 0.000303527
2 0.000395903 0.000402327 0.000396957 0.00119519
3 0.000868118 0.000883174 0.000869965 0.00262126
4 0.00149078 0.00151677 0.00149229 0.00449983
5 0.00223148 0.00226849 0.00223058 0.00673055
6 0.00305485 0.00310052 0.00304904 0.0092044
7 0.00392437 0.00397462 0.00391138 0.0118104
8 0.0048041 0.00485436 0.00478217 0.0144406
9 0.00566085 0.00570681 0.00562782 0.0169955
10 0.0064656 0.00650403 0.00641848 0.0193881
11 0.00719489 0.00722432 0.00713057 0.0215498
12 0.00783197 0.00785311 0.00774826 0.0234333
13 0.0083678 0.00838354 0.00826446 0.0250158
14 0.00880146 0.00881547 0.0086809 0.0262978
15 0.0091388 0.00915367 0.009006 0.0272985
16 0.00938984 0.00940653 0.00925136 0.0280477
17 0.00956624 0.00958487 0.00942878 0.0285799
18 0.00968045 0.00970067 0.00954906 0.0289302
19 0.00974555 0.00976618 0.00962228 0.029134
20 0.0097739 0.00979317 0.00965775 0.0292248
21 0.00977505 0.00979168 0.00966333 0.0292301
22 0.00975515 0.00976931 0.00964496 0.0291694
23 0.00971889 0.00973155 0.00960798 0.0290584
24 0.00967111 0.00968226 0.00955837 0.0289117
25 0.00961599 0.0096238 0.00950211 0.0287419
26 0.00955622 0.00955772 0.00944387 0.0285578
27 0.00949319 0.00948574 0.00938612 0.0283651
28 0.00942783 0.00940963 0.00932888 0.0281663
29 0.00936084 0.00933062 0.00927008 0.0279615
30 0.00929288 0.0092493 0.00920689 0.0277491
31 0.00922494 0.00916634 0.00913738 0.0275287
32 0.00915844 0.00908342 0.00906179 0.0273037
33 0.0090949 0.00900295 0.00898273 0.0270806
34 0.0090359 0.00892751 0.00890454 0.026868
35 0.0089835 0.00885961 0.00883218 0.0266753
36 0.00894035 0.00880174 0.00877017 0.0265123
37 0.00890953 0.00875656 0.00872213 0.0263882
38 0.00889371 0.00872664 0.00869045 0.0263108
39 0.0088943 0.00871385 0.00867586 0.026284
40 0.0089108 0.00871877 0.00867785 0.0263074
41 0.00894116 0.00874067 0.00869552 0.0263773
42 0.0089828 0.00877819 0.00872841 0.0264894
43 0.00903359 0.00882914 0.00877626 0.026639
44 0.00909162 0.00888984 0.00883778 0.0268192
45 0.0091548 0.00895526 0.00891008 0.0270201
46 0.009221 0.00902019 0.00898911 0.0272303
47 0.00928786 0.00908011 0.00906991 0.0274379
48 0.00935247 0.00913178 0.00914685 0.0276311
49 0.00941163 0.00917381 0.00921462 0.0278001
50 0.00946246 0.00920679 0.00926942 0.0279387
