# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
115 -0.45465 -0.451804 -0.462595 -1.36905
116 -0.45845 -0.455589 -0.466347 -1.38039
117 -0.461948 -0.459069 -0.469792 -1.39081
118 -0.465146 -0.462245 -0.472932 -1.40032
119 -0.468049 -0.465123 -0.47577 -1.40894
120 -0.470659 -0.467706 -0.478309 -1.41667
121 -0.47298 -0.469998 -0.480553 -1.42353
122 -0.475015 -0.472002 -0.482505 -1.42952
123 -0.47677 -0.473724 -0.484169 -1.43466
124 -0.478247 -0.475167 -0.485549 -1.43896
125 -0.479451 -0.476336 -0.486649 -1.44244
126 -0.480386 -0.477235 -0.487472 -1.44509
127 -0.481057 -0.477869 -0.488024 -1.44695
128 -0.481469 -0.478242 -0.488309 -1.44802
129 -0.481625 -0.478359 -0.488332 -1.44832
130 -0.481532 -0.478225 -0.488097 -1.44785
131 -0.481195 -0.477844 -0.487609 -1.44665
132 -0.480617 -0.477223 -0.486873 -1.44471
133 -0.479805 -0.476364 -0.485895 -1.44206
134 -0.478763 -0.475275 -0.48468 -1.43872
135 -0.477498 -0.473959 -0.483232 -1.43469
136 -0.476015 -0.472421 -0.481559 -1.42999
137 -0.474318 -0.470668 -0.479664 -1.42465
138 -0.472414 -0.468704 -0.477554 -1.41867
139 -0.470308 -0.466534 -0.475235 -1.41208
140 -0.468005 -0.464164 -0.472712 -1.40488
141 -0.465512 -0.4616 -0.469992 -1.3971
142 -0.462833 -0.458846 -0.467079 -1.38876
143 -0.459975 -0.455908 -0.46398 -1.37986
144 -0.456943 -0.452792 -0.460702 -1.37044
145 -0.453743 -0.449503 -0.457249 -1.36049
146 -0.45038 -0.446047 -0.453627 -1.35005
147 -0.446859 -0.442429 -0.449844 -1.33913
148 -0.443187 -0.438656 -0.445904 -1.32775
149 -0.439369 -0.434732 -0.441814 -1.31591
150 -0.43541 -0.430664 -0.437579 -1.30365
151 -0.431316 -0.426457 -0.433205 -1.29098
152 -0.427092 -0.422118 -0.428699 -1.27791
153 -0.422744 -0.417651 -0.424066 -1.26446
154 -0.418277 -0.413064 -0.419312 -1.25065
155 -0.413696 -0.408361 -0.414442 -1.2365
156 -0.409008 -0.403548 -0.409462 -1.22202
157 -0.404217 -0.398632 -0.404379 -1.20723
158 -0.399328 -0.393618 -0.399196 -1.19214
159 -0.394346 -0.388512 -0.393921 -1.17678
160 -0.389278 -0.383321 -0.388559 -1.16116
161 -0.384128 -0.378048 -0.383114 -1.14529
162 -0.378901 -0.372702 -0.377593 -1.1292
163 -0.373602 -0.367287 -0.372001 -1.11289
164 -0.368237 -0.361808 -0.366343 -1.09639
165 -0.36281 -0.356273 -0.360624 -1.07971
166 -0.357326 -0.350685 -0.35485 -1.06286
167 -0.35179 -0.345052 -0.349026 -1.04587
168 -0.346207 -0.339378 -0.343156 -1.02874
169 -0.340582 -0.333669 -0.337247 -1.0115
170 -0.334919 -0.327931 -0.331302 -0.994151
171 -0.329222 -0.322168 -0.325327 -0.976717
172 -0.323497 -0.316385 -0.319326 -0.959208
173 -0.317747 -0.310589 -0.313304 -0.941641
174 -0.311977 -0.304785 -0.307266 -0.924029
175 -0.306192 -0.298976 -0.301217 -0.906385
176 -0.300394 -0.293168 -0.295161 -0.888723
177 -0.294589 -0.287367 -0.289101 -0.871057
178 -0.28878 -0.281576 -0.283044 -0.8534
179 -0.282971 -0.275799 -0.276993 -0.835763
180 -0.277167 -0.270043 -0.270952 -0.818161
181 -0.27137 -0.26431 -0.264925 -0.800605
182 -0.265585 -0.258605 -0.258917 -0.783106
183 -0.259814 -0.252931 -0.252931 -0.765677
184 -0.254063 -0.247294 -0.246973 -0.748329
185 -0.248333 -0.241695 -0.241045 -0.731073
186 -0.24263 -0.23614 -0.235151 -0.71392
187 -0.236955 -0.23063 -0.229295 -0.696881
188 -0.231312 -0.22517 -0.223482 -0.679964
189 -0.225705 -0.219763 -0.217714 -0.663182
190 -0.220137 -0.21441 -0.211996 -0.646543
191 -0.21461 -0.209116 -0.20633 -0.630056
192 -0.209128 -0.203882 -0.200721 -0.613731
193 -0.203695 -0.198711 -0.19517 -0.597576
194 -0.198311 -0.193605 -0.189683 -0.581599
195 -0.192982 -0.188566 -0.184261 -0.565809
196 -0.187709 -0.183597 -0.178908 -0.550214
197 -0.182495 -0.178699 -0.173627 -0.534821
198 -0.177343 -0.173873 -0.168419 -0.519636
