# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.14436e-33 1.10196e-34 9.06854e-34 2.16141e-33
1 2.44299e-07 2.48004e-07 2.48832e-07 7.41135e-07
2 9.77205e-07 9.92033e-07 9.95339e-07 2.96458e-06
3 2.19874e-06 2.23211e-06 2.23954e-06 6.67038e-06
4 3.90891e-06 3.96826e-06 3.98145e-06 1.18586e-05
5 6.10773e-06 6.20051e-06 6.22108e-06 1.85293e-05
6 8.79522e-06 8.92888e-06 8.95846e-06 2.66826e-05
7 1.19714e-05 1.21534e-05 1.21936e-05 3.63184e-05
8 1.56363e-05 1.58742e-05 1.59265e-05 4.74369e-05
9 1.97898e-05 2.00911e-05 2.01573e-05 6.00382e-05
10 2.44321e-05 2.48044e-05 2.48858e-05 7.41223e-05
11 2.95631e-05 3.00139e-05 3.01123e-05 8.96893e-05
12 3.51828e-05 3.57198e-05 3.58366e-05 0.000106739
13 4.12913e-05 4.19221e-05 4.20588e-05 0.000125272
14 4.78885e-05 4.86208e-05 4.87789e-05 0.000145288
15 5.49745e-05 5.58161e-05 5.5997e-05 0.000166788
16 6.25492e-05 6.35079e-05 6.37131e-05 0.00018977
17 7.06128e-05 7.16963e-05 7.19272e-05 0.000214236
18 7.9165e-05 8.03813e-05 8.06394e-05 0.000240186
19 8.82061e-05 8.95631e-05 8.98497e-05 0.000267619
20 9.77359e-05 9.92417e-05 9.95581e-05 0.000296536
21 0.000107755 0.000109417 0.000109765 0.000326936
22 0.000118262 0.000120089 0.00012047 0.000358821
23 0.000129258 0.000131259 0.000131673 0.00039219
24 0.000140743 0.000142925 0.000143374 0.000427042
25 0.000152717 0.000155089 0.000155574 0.000463379
26 0.00016518 0.00016775 0.000168272 0.000501201
27 0.000178131 0.000180908 0.000181469 0.000540507
28 0.000191571 0.000194563 0.000195164 0.000581298
29 0.0002055 0.000208716 0.000209357 0.000623574
30 0.000219918 0.000223367 0.00022405 0.000667334
