# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
82 6.90097e-05 6.70418e-05 6.71805e-05 0.000203232
83 7.07092e-05 6.86927e-05 6.88347e-05 0.000208237
84 7.24295e-05 7.03637e-05 7.05091e-05 0.000213302
85 7.41705e-05 7.20549e-05 7.22037e-05 0.000218429
86 7.59323e-05 7.37663e-05 7.39185e-05 0.000223617
87 7.77149e-05 7.54979e-05 7.56535e-05 0.000228866
88 7.95182e-05 7.72496e-05 7.74087e-05 0.000234177
89 8.13423e-05 7.90215e-05 7.91841e-05 0.000239548
90 8.31872e-05 8.08135e-05 8.09797e-05 0.00024498
91 8.50529e-05 8.26257e-05 8.27956e-05 0.000250474
92 8.69393e-05 8.44581e-05 8.46316e-05 0.000256029
93 8.88465e-05 8.63107e-05 8.64878e-05 0.000261645
94 9.07744e-05 8.81834e-05 8.83642e-05 0.000267322
95 9.27231e-05 9.00763e-05 9.02608e-05 0.00027306
96 9.46926e-05 9.19893e-05 9.21776e-05 0.00027886
97 9.66828e-05 9.39226e-05 9.41146e-05 0.00028472
98 9.86939e-05 9.58759e-05 9.60718e-05 0.000290642
99 0.000100726 9.78495e-05 9.80492e-05 0.000296624
100 0.000102778 9.98432e-05 0.000100047 0.000302668
101 0.000104851 0.000101857 0.000102065 0.000308773
102 0.000106946 0.000103891 0.000104102 0.000314939
103 0.00010906 0.000105945 0.000106161 0.000321166
104 0.000111196 0.00010802 0.000108239 0.000327454
105 0.000113352 0.000110114 0.000110337 0.000333804
106 0.000115529 0.000112229 0.000112456 0.000340214
107 0.000117727 0.000114363 0.000114595 0.000346685
108 0.000119946 0.000116518 0.000116754 0.000353218
109 0.000122185 0.000118693 0.000118933 0.000359811
110 0.000124445 0.000120888 0.000121132 0.000366466
111 0.000126726 0.000123104 0.000123352 0.000373181
112 0.000129027 0.000125339 0.000125592 0.000379958
113 0.000131349 0.000127595 0.000127851 0.000386796
114 0.000133692 0.00012987 0.000130131 0.000393694
115 0.000136056 0.000132166 0.000132431 0.000400654
116 0.00013844 0.000134482 0.000134752 0.000407674
117 0.000140846 0.000136818 0.000137092 0.000414756
118 0.000143271 0.000139174 0.000139453 0.000421898
119 0.000145718 0.000141551 0.000141833 0.000429102
120 0.000148185 0.000143947 0.000144234 0.000436366
121 0.000150673 0.000146363 0.000146655 0.000443691
122 0.000153182 0.0001488 0.000149096 0.000451077
123 0.000155711 0.000151256 0.000151557 0.000458524
124 0.000158261 0.000153733 0.000154038 0.000466032
125 0.000160832 0.00015623 0.000156539 0.000473601
126 0.000163423 0.000158747 0.000159061 0.000481231
127 0.000166035 0.000161284 0.000161602 0.000488921
128 0.000168668 0.000163841 0.000164164 0.000496672
129 0.000171321 0.000166418 0.000166746 0.000504484
130 0.000173995 0.000169015 0.000169347 0.000512357
131 0.00017669 0.000171632 0.000171969 0.00052029
132 0.000179405 0.000174269 0.000174611 0.000528284
133 0.000182141 0.000176926 0.000177273 0.000536339
134 0.000184897 0.000179603 0.000179955 0.000544455
135 0.000187674 0.0001823 0.000182656 0.000552631
136 0.000190472 0.000185017 0.000185378 0.000560868
137 0.00019329 0.000187755 0.00018812 0.000569165
138 0.000196129 0.000190512 0.000190882 0.000577524
139 0.000198989 0.000193289 0.000193664 0.000585942
140 0.000201869 0.000196086 0.000196466 0.000594421
141 0.00020477 0.000198903 0.000199288 0.000602961
142 0.000207691 0.00020174 0.00020213 0.000611562
143 0.000210633 0.000204597 0.000204992 0.000620222
144 0.000213595 0.000207474 0.000207874 0.000628944
145 0.000216578 0.000210371 0.000210776 0.000637725
146 0.000219581 0.000213288 0.000213698 0.000646567
147 0.000222605 0.000216225 0.00021664 0.00065547
148 0.00022565 0.000219182 0.000219601 0.000664433
149 0.000228715 0.000222158 0.000222583 0.000673456
150 0.0002318 0.000225155 0.000225584 0.000682539
151 0.000234906 0.000228171 0.000228606 0.000691683
152 0.000238033 0.000231208 0.000231647 0.000700887
153 0.000241179 0.000234264 0.000234708 0.000710151
154 0.000244347 0.00023734 0.000237789 0.000719476
155 0.000247535 0.000240436 0.00024089 0.00072886
156 0.000250743 0.000243551 0.000244011 0.000738305
157 0.000253972 0.000246687 0.000247152 0.00074781
158 0.000257221 0.000249842 0.000250312 0.000757375
159 0.00026049 0.000253017 0.000253492 0.000767
160 0.00026378 0.000256212 0.000256692 0.000776685
161 0.000267091 0.000259427 0.000259912 0.00078643
162 0.000270421 0.000262662 0.000263152 0.000796235
163 0.000273772 0.000265916 0.000266411 0.0008061
164 0.000277144 0.00026919 0.000269691 0.000816024
165 0.000280536 0.000272484 0.000272989 0.000826009
166 0.000283948 0.000275797 0.000276308 0.000836053
167 0.00028738 0.000279131 0.000279647 0.000846158
168 0.000290833 0.000282484 0.000283005 0.000856322
169 0.000294306 0.000285856 0.000286383 0.000866545
170 0.0002978 0.000289249 0.00028978 0.000876829
171 0.000301313 0.000292661 0.000293198 0.000887172
172 0.000304847 0.000296093 0.000296635 0.000897574
173 0.000308401 0.000299544 0.000300091 0.000908037
174 0.000311976 0.000303015 0.000303567 0.000918559
175 0.00031557 0.000306506 0.000307063 0.00092914
176 0.000319185 0.000310016 0.000310579 0.000939781
177 0.000322821 0.000313546 0.000314114 0.000950481
178 0.000326476 0.000317096 0.000317669 0.000961241
179 0.000330151 0.000320665 0.000321243 0.00097206
180 0.000333847 0.000324254 0.000324837 0.000982938
181 0.000337563 0.000327862 0.000328451 0.000993876
182 0.000341299 0.00033149 0.000332084 0.00100487
183 0.000345055 0.000335138 0.000335736 0.00101593
184 0.000348831 0.000338805 0.000339409 0.00102704
185 0.000352628 0.000342491 0.0003431 0.00103822
186 0.000356444 0.000346197 0.000346812 0.00104945
187 0.000360281 0.000349923 0.000350542 0.00106075
188 0.000364138 0.000353668 0.000354293 0.0010721
189 0.000368015 0.000357432 0.000358062 0.00108351
190 0.000371912 0.000361216 0.000361851 0.00109498
191 0.000375828 0.000365019 0.00036566 0.00110651
192 0.000379765 0.000368842 0.000369488 0.0011181
193 0.000383722 0.000372685 0.000373336 0.00112974
194 0.0003877 0.000376546 0.000377203 0.00114145
195 0.000391697 0.000380428 0.000381089 0.00115321
196 0.000395714 0.000384328 0.000384995 0.00116504
197 0.000399751 0.000388248 0.00038892 0.00117692
198 0.000403808 0.000392188 0.000392864 0.00118886
199 0.000407885 0.000396146 0.000396828 0.00120086
200 0.000411982 0.000400124 0.000400811 0.00121292
201 0.000416099 0.000404122 0.000404814 0.00122503
202 0.000420236 0.000408139 0.000408836 0.00123721
203 0.000424392 0.000412175 0.000412877 0.00124944
204 0.000428569 0.00041623 0.000416938 0.00126174
205 0.000432766 0.000420305 0.000421018 0.00127409
206 0.000436982 0.000424399 0.000425117 0.0012865
207 0.000441219 0.000428513 0.000429236 0.00129897
208 0.000445475 0.000432646 0.000433374 0.00131149
209 0.000449752 0.000436798 0.000437531 0.00132408
210 0.000454048 0.000440969 0.000441707 0.00133672
211 0.000458364 0.00044516 0.000445903 0.00134943
212 0.0004627 0.00044937 0.000450118 0.00136219
213 0.000467055 0.000453599 0.000454352 0.00137501
214 0.000471431 0.000457847 0.000458605 0.00138788
215 0.000475827 0.000462115 0.000462878 0.00140082
216 0.000480242 0.000466402 0.00046717 0.00141381
217 0.000484677 0.000470708 0.000471481 0.00142687
218 0.000489132 0.000475034 0.000475812 0.00143998
219 0.000493607 0.000479378 0.000480161 0.00145315
220 0.000498102 0.000483742 0.00048453 0.00146637
221 0.000502616 0.000488126 0.000488918 0.00147966
222 0.00050715 0.000492528 0.000493326 0.001493
223 0.000511705 0.00049695 0.000497752 0.00150641
224 0.000516279 0.000501391 0.000502198 0.00151987
225 0.000520872 0.000505851 0.000506663 0.00153339
226 0.000525486 0.00051033 0.000511147 0.00154696
227 0.000530119 0.000514828 0.00051565 0.0015606
228 0.000534773 0.000519346 0.000520173 0.00157429
229 0.000539446 0.000523883 0.000524714 0.00158804
230 0.000544138 0.000528439 0.000529275 0.00160185
231 0.000548851 0.000533015 0.000533855 0.00161572
232 0.000553584 0.000537609 0.000538455 0.00162965
233 0.000558336 0.000542223 0.000543073 0.00164363
234 0.000563108 0.000546856 0.000547711 0.00165767
235 0.0005679 0.000551508 0.000552368 0.00167178
236 0.000572711 0.000556179 0.000557044 0.00168593
237 0.000577543 0.00056087 0.000561739 0.00170015
238 0.000582394 0.00056558 0.000566453 0.00171443
239 0.000587265 0.000570309 0.000571187 0.00172876
240 0.000592156 0.000575057 0.00057594 0.00174315
241 0.000597067 0.000579825 0.000580712 0.0017576
242 0.000601997 0.000584611 0.000585503 0.00177211
243 0.000606948 0.000589417 0.000590313 0.00178668
244 0.000611918 0.000594242 0.000595143 0.0018013
245 0.000616908 0.000599087 0.000599992 0.00181599
