# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 9.22143e-34 3.80686e-34 1.64247e-33 2.9453e-33
1 9.79049e-07 1.02543e-06 9.97232e-07 3.00171e-06
2 3.91641e-06 4.10202e-06 3.98911e-06 1.20075e-05
3 8.81238e-06 9.2302e-06 8.97589e-06 2.70185e-05
4 1.56672e-05 1.64104e-05 1.59578e-05 4.80354e-05
5 2.44812e-05 2.56429e-05 2.49353e-05 7.50593e-05
6 3.52546e-05 3.6928e-05 3.59084e-05 0.000108091
7 4.79874e-05 5.02662e-05 4.88775e-05 0.000147131
8 6.268e-05 6.56575e-05 6.38428e-05 0.00019218
9 7.93325e-05 8.31023e-05 8.08047e-05 0.000243239
10 9.79449e-05 0.000102601 9.97633e-05 0.000300309
11 0.000118517 0.000124153 0.000120719 0.000363389
12 0.00014105 0.000147759 0.000143672 0.000432481
13 0.000165543 0.000173419 0.000168622 0.000507584
14 0.000191996 0.000201133 0.00019557 0.000588699
15 0.000220409 0.000230901 0.000224516 0.000675826
16 0.000250782 0.000262722 0.000255461 0.000768965
17 0.000283115 0.000296598 0.000288403 0.000868116
18 0.000317409 0.000332526 0.000323344 0.000973279
19 0.000353662 0.000370508 0.000360284 0.00108445
20 0.000391875 0.000410543 0.000399222 0.00120164
21 0.000432047 0.000452631 0.000440159 0.00132484
22 0.000474179 0.00049677 0.000483095 0.00145404
23 0.00051827 0.000542962 0.00052803 0.00158926
24 0.00056432 0.000591204 0.000574963 0.00173049
25 0.000612329 0.000641498 0.000623896 0.00187772
26 0.000662296 0.000693841 0.000674827 0.00203096
27 0.000714221 0.000748234 0.000727757 0.00219021
28 0.000768103 0.000804675 0.000782685 0.00235546
29 0.000823943 0.000863165 0.000839612 0.00252672
30 0.00088174 0.000923701 0.000898537 0.00270398
31 0.000941493 0.000986284 0.00095946 0.00288724
32 0.0010032 0.00105091 0.00102238 0.0030765
33 0.00106687 0.00111759 0.0010873 0.00327175
34 0.00113248 0.0011863 0.00115422 0.003473
35 0.00120006 0.00125706 0.00122313 0.00368025
36 0.00126958 0.00132986 0.00129404 0.00389349
37 0.00134106 0.00140471 0.00136694 0.00411271
38 0.00141449 0.00148159 0.00144185 0.00433793
39 0.00148988 0.00156051 0.00151874 0.00456913
40 0.00156721 0.00164147 0.00159763 0.00480631
41 0.00164649 0.00172446 0.00167852 0.00504947
42 0.00172772 0.00180949 0.0017614 0.00529861
43 0.0018109 0.00189655 0.00184627 0.00555373
44 0.00189603 0.00198565 0.00193314 0.00581481
45 0.0019831 0.00207677 0.002022 0.00608187
46 0.00207212 0.00216993 0.00211285 0.0063549
47 0.00216308 0.00226511 0.00220569 0.00663388
48 0.00225599 0.00236232 0.00230052 0.00691883
49 0.00235084 0.00246156 0.00239734 0.00720973
50 0.00244763 0.00256282 0.00249615 0.00750659
51 0.00254636 0.0026661 0.00259694 0.0078094
52 0.00264702 0.00277141 0.00269973 0.00811816
53 0.00274963 0.00287873 0.0028045 0.00843286
54 0.00285417 0.00298807 0.00291125 0.0087535
55 0.00296065 0.00309943 0.00301999 0.00908007
56 0.00306906 0.0032128 0.00313072 0.00941258
57 0.00317941 0.00332819 0.00324343 0.00975102
58 0.00329168 0.00344558 0.00335812 0.0100954
59 0.00340589 0.00356499 0.00347479 0.0104457
60 0.00352202 0.0036864 0.00359345 0.0108019
61 0.00364009 0.00380982 0.00371408 0.011164
62 0.00376008 0.00393524 0.0038367 0.011532
63 0.003882 0.00406267 0.00396129 0.011906
64 0.00400584 0.00419209 0.00408787 0.0122858
65 0.0041316 0.00432352 0.00421642 0.0126715
66 0.00425929 0.00445694 0.00434694 0.0130632
67 0.0043889 0.00459236 0.00447945 0.0134607
68 0.00452043 0.00472978 0.00461393 0.0138641
69 0.00465388 0.00486919 0.00475038 0.0142734
70 0.00478924 0.00501058 0.00488881 0.0146886
71 0.00492652 0.00515397 0.00502922 0.0151097
72 0.00506572 0.00529935 0.0051716 0.0155367
73 0.00520683 0.00544671 0.00531595 0.0159695
74 0.00534985 0.00559606 0.00546228 0.0164082
75 0.00549479 0.00574739 0.00561058 0.0168528
76 0.00564164 0.00590071 0.00576086 0.0173032
77 0.0057904 0.006056 0.00591311 0.0177595
78 0.00594107 0.00621328 0.00606733 0.0182217
79 0.00609364 0.00637253 0.00622353 0.0186897
80 0.00624813 0.00653377 0.0063817 0.0191636
81 0.00640452 0.00669698 0.00654185 0.0196433
82 0.00656282 0.00686216 0.00670396 0.0201289
83 0.00672302 0.00702932 0.00686805 0.0206204
84 0.00688512 0.00719845 0.00703412 0.0211177
85 0.00704913 0.00736956 0.00720215 0.0216208
86 0.00721504 0.00754263 0.00737216 0.0221298
87 0.00738285 0.00771768 0.00754415 0.0226447
88 0.00755256 0.00789469 0.0077181 0.0231654
89 0.00772417 0.00807367 0.00789403 0.0236919
90 0.00789767 0.00825462 0.00807193 0.0242242
91 0.00807307 0.00843753 0.0082518 0.0247624
92 0.00825037 0.00862241 0.00843364 0.0253064
93 0.00842956 0.00880925 0.00861745 0.0258563
94 0.00861065 0.00899804 0.00880323 0.0264119
95 0.00879362 0.0091888 0.00899098 0.0269734
96 0.00897849 0.00938152 0.00918069 0.0275407
97 0.00916525 0.00957619 0.00937238 0.0281138
98 0.00935389 0.00977282 0.00956603 0.0286927
99 0.00954443 0.0099714 0.00976165 0.0292775
100 0.00973684 0.0101719 0.00995923 0.029868
101 0.00993115 0.0103744 0.0101588 0.0304643
102 0.0101273 0.0105788 0.0103603 0.0310665
103 0.0103254 0.0107852 0.0105638 0.0316744
104 0.0105254 0.0109935 0.0107692 0.0322881
105 0.0107272 0.0112038 0.0109766 0.0329076
106 0.0109309 0.011416 0.0111859 0.0335328
107 0.0111365 0.0116302 0.0113972 0.0341639
108 0.0113439 0.0118462 0.0116105 0.0348007
109 0.0115533 0.0120643 0.0118257 0.0354432
110 0.0117645 0.0122842 0.0120429 0.0360915
111 0.0119775 0.0125061 0.012262 0.0367456
112 0.0121925 0.0127299 0.0124831 0.0374054
113 0.0124093 0.0129556 0.0127061 0.038071
114 0.0126279 0.0131833 0.0129311 0.0387423
115 0.0128485 0.0134129 0.013158 0.0394193
116 0.0130709 0.0136444 0.0133868 0.0401021
117 0.0132951 0.0138778 0.0136176 0.0407905
118 0.0135212 0.0141132 0.0138503 0.0414847
119 0.0137492 0.0143504 0.014085 0.0421846
120 0.013979 0.0145896 0.0143216 0.0428902
121 0.0142107 0.0148307 0.0145601 0.0436015
122 0.0144442 0.0150736 0.0148006 0.0443184
123 0.0146796 0.0153185 0.015043 0.0450411
124 0.0149168 0.0155653 0.0152873 0.0457694
125 0.0151558 0.015814 0.0155336 0.0465034
126 0.0153967 0.0160646 0.0157817 0.0472431
127 0.0156395 0.0163171 0.0160318 0.0479884
128 0.015884 0.0165715 0.0162838 0.0487394
129 0.0161304 0.0168278 0.0165377 0.049496
130 0.0163787 0.017086 0.0167936 0.0502582
131 0.0166287 0.0173461 0.0170513 0.0510261
132 0.0168806 0.017608 0.017311 0.0517996
133 0.0171344 0.0178719 0.0175725 0.0525788
134 0.0173899 0.0181376 0.017836 0.0533635
135 0.0176472 0.0184052 0.0181013 0.0541538
136 0.0179064 0.0186747 0.0183686 0.0549497
137 0.0181674 0.0189461 0.0186378 0.0557513
138 0.0184302 0.0192194 0.0189088 0.0565584
139 0.0186948 0.0194945 0.0191817 0.057371
140 0.0189612 0.0197715 0.0194566 0.0581893
141 0.0192295 0.0200504 0.0197333 0.0590131
142 0.0194995 0.0203311 0.0200119 0.0598425
143 0.0197713 0.0206137 0.0202923 0.0606774
144 0.020045 0.0208982 0.0205747 0.0615178
145 0.0203204 0.0211846 0.0208589 0.0623638
146 0.0205976 0.0214728 0.021145 0.0632154
147 0.0208767 0.0217628 0.0214329 0.0640725
148 0.0211575 0.0220548 0.0217228 0.0649351
149 0.0214401 0.0223486 0.0220145 0.0658032
150 0.0217246 0.0226442 0.022308 0.0666768
151 0.0220108 0.0229417 0.0226034 0.067556
152 0.0222988 0.0232411 0.0229007 0.0684406
153 0.0225886 0.0235423 0.0231998 0.0693307
154 0.0228802 0.0238454 0.0235008 0.0702264
155 0.0231736 0.0241503 0.0238036 0.0711275
156 0.0234688 0.0244571 0.0241083 0.0720341
157 0.0237658 0.0247657 0.0244148 0.0729462
158 0.0240645 0.0250762 0.0247231 0.0738638
159 0.0243651 0.0253885 0.0250333 0.0747869
160 0.0246674 0.0257026 0.0253453 0.0757154
161 0.0249716 0.0260186 0.0256592 0.0766494
162 0.0252775 0.0263364 0.0259749 0.0775888
163 0.0255852 0.0266561 0.0262924 0.0785337
164 0.0258947 0.0269776 0.0266117 0.079484
165 0.026206 0.0273009 0.0269329 0.0804398
166 0.026519 0.0276261 0.0272559 0.081401
167 0.0268339 0.0279531 0.0275807 0.0823677
168 0.0271505 0.0282819 0.0279073 0.0833397
169 0.0274689 0.0286126 0.0282358 0.0843172
170 0.0277891 0.028945 0.028566 0.0853001
171 0.0281111 0.0292793 0.0288981 0.0862884
172 0.0284348 0.0296154 0.0292319 0.0872822
173 0.0287603 0.0299534 0.0295676 0.0882813
174 0.0290876 0.0302931 0.0299051 0.0892858
175 0.0294166 0.0306346 0.0302444 0.0902957
176 0.0297475 0.030978 0.0305855 0.0913109
177 0.0300801 0.0313232 0.0309283 0.0923316
178 0.0304144 0.0316702 0.031273 0.0933576
179 0.0307506 0.0320189 0.0316195 0.094389
180 0.0310885 0.0323695 0.0319677 0.0954257
181 0.0314281 0.0327219 0.0323177 0.0964678
182 0.0317696 0.0330761 0.0326696 0.0975152
183 0.0321128 0.0334321 0.0330232 0.098568
184 0.0324577 0.0337898 0.0333785 0.0996261
185 0.0328044 0.0341494 0.0337357 0.10069
186 0.0331529 0.0345108 0.0340946 0.101758
187 0.0335031 0.0348739 0.0344553 0.102832
188 0.0338551 0.0352389 0.0348178 0.103912
189 0.0342088 0.0356056 0.0351821 0.104996
190 0.0345643 0.0359741 0.0355481 0.106086
191 0.0349215 0.0363444 0.0359158 0.107182
192 0.0352804 0.0367165 0.0362854 0.108282
193 0.0356412 0.0370904 0.0366567 0.109388
194 0.0360036 0.037466 0.0370297 0.110499
195 0.0363678 0.0378434 0.0374045 0.111616
