# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.52376e-33 0 1.79979e-33 3.32355e-33
1 2.51089e-05 2.50915e-05 2.46406e-05 7.4841e-05
2 0.000100399 0.000100341 9.85872e-05 0.000299327
3 0.0002258 0.000225686 0.000221864 0.000673351
4 0.000401221 0.000401031 0.000394482 0.00119673
5 0.000626553 0.000626251 0.000616435 0.00186924
6 0.000901682 0.000901196 0.000887707 0.00269059
7 0.00122648 0.0012257 0.00120827 0.00366045
8 0.00160084 0.00159957 0.00157807 0.00477848
9 0.0020246 0.00202263 0.00199705 0.00604429
10 0.00249765 0.00249467 0.00246511 0.00745743
11 0.00301981 0.00301548 0.00298212 0.00901741
12 0.00359091 0.00358484 0.00354791 0.0107237
13 0.00421076 0.00420252 0.00416227 0.0125756
14 0.00487914 0.0048683 0.004825 0.0145724
15 0.00559588 0.00558195 0.00553587 0.0167137
16 0.00636081 0.00634326 0.00629469 0.0189988
17 0.00717379 0.00715206 0.0071013 0.0214271
18 0.00803473 0.00800819 0.00795554 0.0239985
19 0.00894357 0.00891154 0.0088573 0.0267124
20 0.00990023 0.00986198 0.0098065 0.0295687
21 0.0109047 0.0108594 0.010803 0.0325671
22 0.0119568 0.0119036 0.0118468 0.0357073
23 0.0130566 0.0129946 0.0129377 0.0389889
24 0.0142039 0.014132 0.0140757 0.0424115
25 0.0153986 0.0153157 0.0152605 0.0459747
26 0.0166404 0.0165455 0.0164919 0.0496778
27 0.0179292 0.0178213 0.0177698 0.0535203
28 0.0192648 0.0191428 0.0190939 0.0575015
29 0.0206469 0.02051 0.020464 0.0616208
30 0.0220752 0.0219227 0.0218797 0.0658776
31 0.0235496 0.0233807 0.023341 0.0702713
32 0.02507 0.0248839 0.0248475 0.0748014
33 0.026636 0.0264323 0.026399 0.0794673
34 0.0282477 0.0280255 0.0279952 0.0842684
35 0.0299047 0.0296635 0.029636 0.0892043
36 0.0316072 0.0313462 0.0313213 0.0942746
37 0.0333549 0.0330735 0.0330508 0.0994792
38 0.035148 0.0348453 0.0348246 0.104818
39 0.0369865 0.0366615 0.0366426 0.110291
40 0.0388704 0.0385221 0.0385049 0.115898
41 0.0407998 0.040427 0.0404115 0.121638
42 0.0427747 0.0423759 0.0423623 0.127513
43 0.044795 0.0443688 0.0443573 0.133521
44 0.0468607 0.0464055 0.0463965 0.139663
45 0.0489718 0.0484858 0.0484797 0.145937
46 0.0511279 0.0506095 0.0506068 0.152344
47 0.053329 0.0527765 0.0527777 0.158883
48 0.0555748 0.0549866 0.0549922 0.165554
49 0.0578649 0.0572398 0.0572502 0.172355
50 0.0601989 0.059536 0.0595515 0.179286
51 0.0625764 0.0618753 0.0618959 0.186348
52 0.064997 0.0642577 0.0642834 0.193538
53 0.0674602 0.0666832 0.0667139 0.200857
54 0.0699658 0.0691519 0.0691872 0.208305
55 0.0725137 0.0716638 0.0717032 0.215881
56 0.0751039 0.074219 0.0742621 0.223585
57 0.0777364 0.0768174 0.0768637 0.231417
