# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 0.977182 0.992002 0.995317 2.9645
1 0.977192 0.992015 0.995327 2.96453
2 0.9772 0.992026 0.995334 2.96456
3 0.977204 0.992035 0.995339 2.96458
4 0.977207 0.992041 0.995342 2.96459
5 0.977206 0.992046 0.995343 2.9646
6 0.977203 0.992048 0.995342 2.96459
7 0.977198 0.992048 0.99534 2.96459
8 0.977189 0.992046 0.995335 2.96457
9 0.977179 0.992042 0.995328 2.96455
10 0.977165 0.992036 0.995319 2.96452
11 0.977149 0.992029 0.995309 2.96449
12 0.97713 0.992019 0.995297 2.96445
13 0.977109 0.992007 0.995282 2.9644
14 0.977085 0.991993 0.995266 2.96434
15 0.977059 0.991978 0.995249 2.96428
16 0.97703 0.99196 0.995229 2.96422
17 0.976998 0.991941 0.995208 2.96415
18 0.976964 0.991919 0.995185 2.96407
19 0.976928 0.991896 0.99516 2.96398
20 0.976889 0.991871 0.995134 2.96389
21 0.976847 0.991845 0.995106 2.9638
22 0.976803 0.991816 0.995076 2.9637
23 0.976757 0.991786 0.995045 2.96359
24 0.976708 0.991754 0.995012 2.96347
25 0.976657 0.99172 0.994978 2.96335
26 0.976603 0.991685 0.994942 2.96323
27 0.976547 0.991648 0.994904 2.9631
28 0.976488 0.991609 0.994866 2.96296
29 0.976428 0.991569 0.994825 2.96282
30 0.976364 0.991527 0.994783 2.96267
31 0.976299 0.991483 0.99474 2.96252
32 0.976231 0.991438 0.994696 2.96237
33 0.976161 0.991391 0.99465 2.9622
34 0.976088 0.991343 0.994603 2.96203
35 0.976014 0.991293 0.994554 2.96186
36 0.975937 0.991242 0.994504 2.96168
37 0.975857 0.991189 0.994453 2.9615
38 0.975776 0.991134 0.9944 2.96131
39 0.975692 0.991078 0.994346 2.96112
40 0.975606 0.991021 0.994291 2.96092
41 0.975518 0.990962 0.994235 2.96071
42 0.975428 0.990901 0.994177 2.96051
43 0.975336 0.99084 0.994118 2.96029
44 0.975241 0.990776 0.994058 2.96008
45 0.975144 0.990711 0.993997 2.95985
46 0.975046 0.990645 0.993934 2.95962
47 0.974945 0.990577 0.993871 2.95939
48 0.974842 0.990508 0.993806 2.95916
49 0.974737 0.990438 0.99374 2.95891
50 0.97463 0.990365 0.993672 2.95867
51 0.97452 0.990292 0.993604 2.95842
52 0.974409 0.990217 0.993534 2.95816
53 0.974296 0.990141 0.993464 2.9579
54 0.974181 0.990063 0.993392 2.95764
55 0.974063 0.989984 0.993319 2.95737
56 0.973944 0.989903 0.993244 2.95709
57 0.973823 0.989821 0.993169 2.95681
58 0.9737 0.989738 0.993092 2.95653
59 0.973574 0.989653 0.993015 2.95624
60 0.973447 0.989566 0.992936 2.95595
61 0.973318 0.989479 0.992856 2.95565
62 0.973187 0.989389 0.992774 2.95535
63 0.973054 0.989298 0.992692 2.95504
