# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
125 1.02593 0.996587 0.998476 3.02099
126 1.0259 0.996557 0.998442 3.0209
127 1.02587 0.996525 0.998406 3.0208
128 1.02583 0.996492 0.998368 3.02069
129 1.0258 0.996457 0.998329 3.02059
130 1.02576 0.996419 0.998287 3.02047
131 1.02573 0.996381 0.998244 3.02035
132 1.02569 0.99634 0.998198 3.02023
133 1.02565 0.996297 0.998151 3.02009
134 1.0256 0.996253 0.998102 3.01996
135 1.02556 0.996206 0.998051 3.01981
136 1.02551 0.996158 0.997998 3.01967
137 1.02546 0.996108 0.997944 3.01951
138 1.02541 0.996057 0.997887 3.01935
139 1.02536 0.996003 0.997829 3.01919
140 1.0253 0.995947 0.997768 3.01902
141 1.02524 0.99589 0.997706 3.01884
142 1.02518 0.995831 0.997642 3.01866
143 1.02512 0.99577 0.997575 3.01847
144 1.02506 0.995707 0.997507 3.01828
145 1.025 0.995642 0.997437 3.01808
146 1.02493 0.995575 0.997366 3.01787
147 1.02486 0.995507 0.997292 3.01766
148 1.02479 0.995436 0.997216 3.01744
149 1.02472 0.995364 0.997139 3.01722
150 1.02465 0.99529 0.997059 3.01699
151 1.02457 0.995214 0.996978 3.01676
152 1.02449 0.995136 0.996895 3.01652
153 1.02441 0.995056 0.996809 3.01628
154 1.02433 0.994974 0.996722 3.01603
155 1.02425 0.994891 0.996633 3.01577
156 1.02416 0.994806 0.996542 3.01551
157 1.02407 0.994719 0.99645 3.01524
158 1.02398 0.99463 0.996355 3.01497
159 1.02389 0.994539 0.996259 3.01469
160 1.0238 0.994446 0.99616 3.01441
161 1.0237 0.994352 0.99606 3.01412
162 1.02361 0.994256 0.995958 3.01382
163 1.02351 0.994158 0.995855 3.01352
164 1.02341 0.994058 0.995749 3.01322
165 1.02331 0.993957 0.995641 3.0129
166 1.0232 0.993854 0.995532 3.01259
167 1.0231 0.993749 0.995421 3.01227
168 1.02299 0.993642 0.995309 3.01194
169 1.02288 0.993534 0.995194 3.01161
170 1.02277 0.993423 0.995078 3.01127
171 1.02266 0.993312 0.99496 3.01093
172 1.02254 0.993198 0.99484 3.01058
173 1.02243 0.993083 0.994719 3.01023
174 1.02231 0.992967 0.994596 3.00987
175 1.02219 0.992849 0.994472 3.00951
176 1.02207 0.992729 0.994346 3.00914
177 1.02194 0.992608 0.994218 3.00877
178 1.02182 0.992485 0.994089 3.00839
179 1.02169 0.992361 0.993958 3.00801
180 1.02157 0.992235 0.993826 3.00763
181 1.02144 0.992108 0.993693 3.00724
182 1.02131 0.99198 0.993558 3.00685
183 1.02118 0.99185 0.993421 3.00645
184 1.02105 0.991719 0.993284 3.00605
185 1.02091 0.991587 0.993145 3.00564
186 1.02078 0.991454 0.993005 3.00524
187 1.02064 0.991319 0.992864 3.00482
188 1.0205 0.991184 0.992721 3.00441
189 1.02036 0.991047 0.992578 3.00399
190 1.02022 0.990909 0.992433 3.00357
191 1.02008 0.990771 0.992287 3.00314
192 1.01994 0.990631 0.992141 3.00271
193 1.0198 0.99049 0.991993 3.00228
194 1.01966 0.990349 0.991845 3.00185
195 1.01951 0.990207 0.991696 3.00142
196 1.01937 0.990064 0.991546 3.00098
197 1.01922 0.989921 0.991396 3.00054
198 1.01908 0.989777 0.991245 3.0001
199 1.01893 0.989632 0.991093 2.99966
200 1.01878 0.989487 0.990941 2.99921
201 1.01864 0.989342 0.990788 2.99877
202 1.01849 0.989196 0.990635 2.99832
203 1.01834 0.98905 0.990481 2.99787
204 1.01819 0.988903 0.990328 2.99742
205 1.01804 0.988757 0.990174 2.99697
206 1.01789 0.98861 0.99002 2.99652
207 1.01775 0.988463 0.989866 2.99607
208 1.0176 0.988316 0.989712 2.99562
209 1.01745 0.98817 0.989557 2.99517
210 1.0173 0.988023 0.989403 2.99473
211 1.01715 0.987877 0.98925 2.99428
212 1.017 0.987731 0.989096 2.99383
213 1.01685 0.987585 0.988942 2.99338
214 1.01671 0.987439 0.988789 2.99294
215 1.01656 0.987294 0.988637 2.99249
216 1.01641 0.98715 0.988485 2.99205
217 1.01627 0.987005 0.988333 2.99161
218 1.01612 0.986862 0.988182 2.99117
219 1.01598 0.986719 0.988031 2.99073
220 1.01583 0.986577 0.987881 2.99029
221 1.01569 0.986436 0.987732 2.98986
222 1.01555 0.986295 0.987584 2.98943
223 1.01541 0.986155 0.987437 2.989
224 1.01526 0.986016 0.98729 2.98857
225 1.01513 0.985879 0.987144 2.98815
226 1.01499 0.985742 0.986999 2.98773
227 1.01485 0.985606 0.986856 2.98731
228 1.01471 0.985471 0.986713 2.9869
