Time,TotEng,Temp,Press,,Step,TotEng,Temp,Press,Density
0.54,-3.0031204,1.3017098,2.675066,,540,-1.4647347,1.3089247,0.7350724,0.56970526
0.55,-3.002461,1.2765654,2.7788554,,550,-1.4715424,1.2976706,0.7359865,0.5683236
0.56,-3.0021906,1.2513101,2.8889247,,560,-1.4720171,1.3066031,0.67621937,0.56699835
0.57,-3.0027246,1.2329319,2.9721607,,570,-1.4670362,1.3410131,0.5421343,0.56574153
0.58,-3.0041652,1.215763,3.0494454,,580,-1.4563477,1.3844372,0.39312891,0.56457837
0.59,-3.0045412,1.19953,3.1187483,,590,-1.4417934,1.4171997,0.29624018,0.56353688
0.6,-3.0054432,1.199604,3.1039993,,600,-1.424762,1.4302776,0.28172486,0.56263525
0.61,-3.0063674,1.2246571,2.9668185,,610,-1.4028941,1.42717,0.33945253,0.56187586
0.62,-3.005871,1.2626546,2.7682452,,620,-1.3794964,1.4236362,0.41166875,0.56124773
0.63,-3.0053577,1.2904581,2.6157649,,630,-1.3547805,1.4342445,0.44853053,0.56073687
0.64,-3.0048251,1.2993328,2.5518443,,640,-1.3278641,1.4553037,0.4609268,0.5603354
0.65,-3.0056014,1.2975224,2.5351604,,650,-1.2986783,1.4722638,0.49390714,0.56003972
0.66,-3.0048101,1.2954723,2.5170426,,660,-1.2669943,1.4810756,0.55961354,0.55984282
0.67,-3.0055894,1.3041062,2.4399742,,670,-1.2365327,1.4862581,0.63726265,0.55973191
0.68,-3.005746,1.3262188,2.3002403,,680,-1.2081724,1.492629,0.70738262,0.55969182
0.69,-3.0055032,1.3395582,2.207024,,690,-1.1772216,1.5062435,0.75368865,0.55970882
0.7,-3.0045719,1.328361,2.2400763,,700,-1.1465154,1.5317267,0.75831285,0.55977403
0.71,-3.0045576,1.3054939,2.3424475,,710,-1.1173638,1.5640132,0.73756926,0.55988629
0.72,-3.0035011,1.2870125,2.4419518,,720,-1.0906176,1.5861452,0.74509634,0.56004872
0.73,-3.002858,1.2833408,2.4857064,,730,-1.0699974,1.589978,0.80163296,0.56025954
0.74,-3.0031451,1.2843898,2.5153656,,740,-1.0501034,1.5896422,0.86627381,0.56050819
0.75,-3.0023536,1.2702073,2.6193131,,750,-1.0325111,1.6029698,0.87895822,0.56078298
0.76,-3.001154,1.2477265,2.7602762,,760,-1.019509,1.6256638,0.85083859,0.56108125
0.77,-3.0020626,1.2388861,2.8289925,,770,-1.0090858,1.6393595,0.8444796,0.56140746
0.78,-3.00207,1.2499654,2.7956291,,780,-1.0033782,1.6377039,0.88009968,0.5617626
0.79,-3.0023333,1.2744348,2.6851482,,790,-1.0019878,1.6288986,0.93253579,0.56214009
0.8,-3.0027319,1.3068786,2.5249921,,800,-1.0066968,1.6238342,0.96356582,0.5625303
0.81,-3.0024833,1.3391091,2.3594732,,810,-1.0143935,1.6234738,0.97152991,0.56292709
0.82,-3.0035387,1.358779,2.2484046,,820,-1.0248703,1.618745,0.98456485,0.56332844
0.83,-3.0019753,1.3563907,2.24624,,830,-1.0408531,1.6009482,1.0275865,0.56373149
0.84,-3.0012903,1.336783,2.3264258,,840,-1.0608747,1.5685292,1.1069687,0.56412754
0.85,-3.0001099,1.3307288,2.3536232,,850,-1.0838121,1.5389164,1.1692406,0.56450184
0.86,-3.0009193,1.3436682,2.3002928,,860,-1.1085349,1.5229421,1.1820888,0.56484269
0.87,-2.9992269,1.3508336,2.2863728,,870,-1.1351227,1.4998903,1.210279,0.56514621
0.88,-2.999347,1.3437844,2.345306,,880,-1.1634199,1.4648965,1.2703179,0.5654065
0.89,-2.9989464,1.3295415,2.4480994,,890,-1.1918107,1.4328925,1.3171798,0.56561239
0.9,-2.9971228,1.3141585,2.5645138,,900,-1.2183243,1.4093113,1.3345685,0.56575487
0.91,-2.9958275,1.2948465,2.6987161,,910,-1.2442074,1.3846335,1.3491293,0.56582992
0.92,-2.9955646,1.2691983,2.8564154,,920,-1.2668624,1.3610749,1.3549412,0.56583463
0.93,-2.9946481,1.2436102,3.008072,,930,-1.2869737,1.3610401,1.2797094,0.56576909
0.94,-2.9947664,1.2264942,3.1083587,,940,-1.3070489,1.3891922,1.1071393,0.56564841
0.95,-2.9944925,1.2368755,3.0718236,,950,-1.32292,1.4234509,0.91661626,0.56550524
0.96,-2.9941429,1.2795199,2.879573,,960,-1.3371158,1.4403736,0.78666503,0.56537604
0.97,-2.9936266,1.315323,2.7137804,,970,-1.3518685,1.4288913,0.75477295,0.56528603
0.98,-2.9949198,1.3274088,2.6578819,,980,-1.3660423,1.401829,0.78311575,0.56524225
0.99,-2.996089,1.3221082,2.6917479,,990,-1.3769164,1.386398,0.78858509,0.56524066
1,-2.9955552,1.3044446,2.7928561,,1000,-1.3874024,1.3867797,0.75352267,0.56528058
1.01,-2.9942308,1.2868823,2.8994288,,1010,-1.3948633,1.3880113,0.72756282,0.56536811
1.02,-2.99411,1.2875715,2.92558,,1020,-1.4012837,1.3846282,0.72623767,0.56550836
1.03,-2.9946662,1.2979565,2.9118666,,1030,-1.4054156,1.3774991,0.74777584,0.56570178
1.04,-2.9952038,1.2878516,2.9964318,,1040,-1.407056,1.3726223,0.77273505,0.56594471
1.05,-2.9964873,1.2433266,3.237596,,1050,-1.4048717,1.3808421,0.76924312,0.56623298
1.06,-2.9965837,1.1846463,3.5377779,,1060,-1.3984409,1.3948782,0.76206457,0.566567
1.07,-2.996047,1.1445217,3.7365111,,1070,-1.3869656,1.4013706,0.795332,0.56694765
1.08,-2.9970822,1.1397594,3.7449539,,1080,-1.370394,1.4028441,0.8615763,0.56736874
1.09,-2.9972209,1.1768588,3.5389181,,1090,-1.3480579,1.4104443,0.92544153,0.56781794
1.1,-2.9963333,1.2448933,3.1788528,,1100,-1.3181567,1.4289096,0.97245252,0.56828295
1.11,-2.9953141,1.3142588,2.812506,,1110,-1.281622,1.4529929,1.0165184,0.56875432
1.12,-2.9966256,1.3573815,2.574787,,1120,-1.2404581,1.4763855,1.0734094,0.56922312
1.13,-2.9977934,1.3643209,2.5222513,,1130,-1.1949435,1.4986109,1.1415056,0.56967801
1.14,-2.997259,1.3415699,2.6273521,,1140,-1.1480863,1.5259828,1.1947838,0.5701059
1.15,-2.9977687,1.3037555,2.8125406,,1150,-1.1006016,1.5579506,1.2318732,0.57049608
1.16,-2.9971066,1.2660249,3.0037333,,1160,-1.0568995,1.5801251,1.2889436,0.57084026
1.17,-2.9976237,1.2391822,3.1410019,,1170,-1.0161459,1.596951,1.3479919,0.57112716
1.18,-2.9971081,1.2272141,3.2063377,,1180,-0.9809976,1.6235532,1.3535651,0.5713458
1.19,-2.9960761,1.2252286,3.2205749,,1190,-0.95061091,1.6557632,1.3163197,0.5714944
1.2,-2.9975188,1.2236291,3.2230859,,1200,-0.92821654,1.6840551,1.261309,0.57157954
1.21,-2.9977746,1.2176088,3.2415294,,1210,-0.91188493,1.7161682,1.1681064,0.5716123
1.22,-2.9968492,1.2140803,3.2449579,,1220,-0.90410252,1.7531519,1.0354198,0.57161107
1.23,-2.9969818,1.2230058,3.186697,,1230,-0.90457438,1.7667526,0.9580888,0.57160026
1.24,-2.9954222,1.2430856,3.080664,,1240,-0.91371856,1.7428629,0.98399057,0.57159433
1.25,-2.9960792,1.2654453,2.9660522,,1250,-0.93103054,1.7039544,1.0436982,0.57158941
1.26,-2.9973908,1.2827751,2.8840602,,1260,-0.95414179,1.6736366,1.0635411,0.57157492
1.27,-2.995837,1.2864869,2.8815413,,1270,-0.98442962,1.6595676,1.0168456,0.57154729
1.28,-2.9966156,1.2672948,2.9871433,,1280,-1.0192987,1.653831,0.9330112,0.57151518
1.29,-2.996583,1.2344349,3.1523122,,1290,-1.0592441,1.6486396,0.83977412,0.5714948
1.3,-2.9968245,1.2198705,3.2180356,,1300,-1.1028503,1.6439041,0.74430586,0.57150477
1.31,-2.9967075,1.2425444,3.0927216,,1310,-1.1492461,1.6277426,0.68966261,0.57156354
1.32,-2.9968592,1.2884969,2.8420347,,1320,-1.1943966,1.590432,0.7140507,0.57168162
1.33,-2.9951795,1.3318737,2.5990528,,1330,-1.2382584,1.5405159,0.78982555,0.57185523
1.34,-2.994665,1.3524725,2.464185,,1340,-1.27641,1.4964972,0.85929265,0.57207076
1.35,-2.9950404,1.344549,2.4711875,,1350,-1.3085491,1.4689228,0.88413579,0.57231539
1.36,-2.9942316,1.3272218,2.5384833,,1360,-1.335783,1.4603153,0.8516942,0.57258457
1.37,-2.9955548,1.323377,2.5563512,,1370,-1.3582722,1.4807455,0.73133278,0.57288565
1.38,-2.9951759,1.3223466,2.5741937,,1380,-1.3777572,1.5190706,0.56216838,0.57324229
1.39,-2.9952918,1.3121301,2.6381749,,1390,-1.3966554,1.5411,0.45690968,0.57368674
1.4,-2.9959319,1.3038555,2.6948905,,1400,-1.4142539,1.5382051,0.44975346,0.57424041
1.41,-2.9958083,1.3084175,2.6950795,,1410,-1.4292224,1.5185955,0.51753873,0.57490627
1.42,-2.995954,1.3179392,2.6730715,,1420,-1.4434614,1.4874437,0.63863435,0.57567249
1.43,-2.9964738,1.3190314,2.6906465,,1430,-1.4568135,1.4476857,0.79810314,0.57651636
1.44,-2.9965977,1.310987,2.7522488,,1440,-1.4652265,1.4086656,0.96289886,0.57740753
1.45,-2.9965995,1.2987067,2.8313003,,1450,-1.4714204,1.384796,1.0757162,0.57831484
1.46,-2.9972412,1.2839147,2.9111365,,1460,-1.4728985,1.3836918,1.1093535,0.5792165
1.47,-2.9989232,1.278398,2.93261,,1470,-1.4705388,1.4021416,1.0724366,0.58010565
1.48,-2.997757,1.293688,2.8512754,,1480,-1.4663242,1.4291463,1.0022387,0.58098892
1.49,-2.9964668,1.3203882,2.7119722,,1490,-1.4606485,1.449494,0.95299256,0.58187935
1.5,-2.9949079,1.339712,2.6092369,,1500,-1.4534021,1.4562603,0.95107417,0.58278647
1.51,-2.9946428,1.3384609,2.6065155,,1510,-1.4450924,1.4592479,0.96495991,0.58371155
